n,action_name,motivation,feedback
1,weekly,2,Oui
1,monthly,2,Oui
1,notatall,-1,Oui
2,weekly,1,"Oui, mais pas sûr"
2,monthly,2,Oui
2,notatall,3,Oui
7,weekly,3,Oui
7,monthly,3,Oui
7,notatall,-2,Oui
5,weekly,3,Oui
5,monthly,3,Oui
5,notatall,-3,Oui
8,weekly,2,Oui
8,monthly,1,Oui
8,notatall,-1,Oui
10,weekly,1,"Oui, mais pas sûr"
10,monthly,1,"Oui, mais pas sûr"
10,notatall,-3,Oui
11,weekly,2,Oui
11,monthly,-1,Oui
11,notatall,-3,Oui
12,weekly,3,"Oui, mais pas sûr"
12,monthly,2,Oui
12,notatall,0,"Oui, mais pas sûr"
14,weekly,2,Oui
14,monthly,2,Oui
14,notatall,-2,Oui
13,weekly,3,"Oui, mais pas sûr"
13,monthly,3,Oui
13,notatall,-1,Oui
15,weekly,2,"Oui, mais pas sûr"
15,monthly,2,Oui
15,notatall,2,Oui
16,weekly,3,Oui
16,monthly,3,Oui
16,notatall,0,Oui
17,weekly,-1,Oui
17,monthly,2,Oui
17,notatall,-1,Oui
18,weekly,3,Oui
18,monthly,3,Oui
18,notatall,-3,Oui
19,weekly,3,"Oui, mais pas sûr"
19,monthly,3,Oui
19,notatall,-3,Oui
20,weekly,3,Oui
20,monthly,2,Oui
20,notatall,-1,Oui
22,weekly,3,Oui
22,monthly,3,Oui
22,notatall,3,Oui
21,weekly,3,Oui
21,monthly,3,Oui
21,notatall,3,Oui
24,weekly,-2,Non
24,monthly,2,Oui
24,notatall,-2,Oui
25,weekly,2,"Oui, mais pas sûr"
25,monthly,2,Oui
25,notatall,-2,Oui
26,weekly,3,Oui
26,monthly,3,Oui
26,notatall,-3,Oui
27,weekly,2,"Oui, mais pas sûr"
27,monthly,2,"Oui, mais pas sûr"
27,notatall,-2,Oui
29,weekly,2,Oui
29,monthly,2,Oui
29,notatall,0,Oui
30,weekly,3,Oui
30,monthly,3,Oui
30,notatall,-3,"Oui, mais pas sûr"
31,weekly,3,Oui
31,monthly,3,Oui
31,notatall,-1,Oui
33,weekly,3,Oui
33,monthly,0,Oui
33,notatall,-3,Non
67,weekly,-2,Non
67,monthly,-2,Non
67,notatall,-2,Non
69,weekly,2,"Oui, mais pas sûr"
69,monthly,1,"Oui, mais pas sûr"
69,notatall,-3,"Oui, mais pas sûr"
70,weekly,1,"Oui, mais pas sûr"
70,monthly,1,Oui
70,notatall,1,Oui
68,weekly,1,"Oui, mais pas sûr"
68,monthly,3,Oui
68,notatall,-1,Oui
72,weekly,0,Oui
72,monthly,0,Oui
72,notatall,0,Oui
71,weekly,1,Oui
71,monthly,2,Oui
71,notatall,-2,Oui
76,weekly,-1,"Oui, mais pas sûr"
76,monthly,1,"Oui, mais pas sûr"
76,notatall,-2,Oui
75,weekly,3,Oui
75,monthly,3,Oui
75,notatall,-1,Oui
77,weekly,2,Oui
77,monthly,-2,"Oui, mais pas sûr"
77,notatall,-3,Oui
79,weekly,2,Oui
79,monthly,2,Oui
79,notatall,-3,Oui
80,weekly,3,Oui
80,monthly,-1,"Oui, mais pas sûr"
80,notatall,-3,Non
81,weekly,-1,"Oui, mais pas sûr"
81,monthly,2,Oui
81,notatall,1,Oui
82,weekly,2,"Oui, mais pas sûr"
82,monthly,2,"Oui, mais pas sûr"
82,notatall,-1,Oui
83,weekly,1,"Oui, mais pas sûr"
83,monthly,2,Oui
83,notatall,1,Oui
84,weekly,3,Oui
84,monthly,3,Oui
84,notatall,-3,Oui
86,weekly,3,Oui
86,monthly,3,Oui
86,notatall,3,Oui
